launch_service_provider,mission,name,net,pad,rocket,status
Army Ballistic Missile Agency,Explorer 1,Juno-I | Explorer 1,02/01/1958 3:47 a.m.,"Launch Complex 26A | Cape Canaveral, FL, USA",Juno-I,Launch Successful
Army Ballistic Missile Agency,Explorer 2,Juno-I | Explorer 2,03/05/1958 6:27 p.m.,"Launch Complex 26A | Cape Canaveral, FL, USA",Juno-I,Launch Failure
Army Ballistic Missile Agency,Explorer 3,Juno-I | Explorer 3,03/26/1958 5:38 p.m.,"Launch Complex 26A | Cape Canaveral, FL, USA",Juno-I,Launch Successful
Army Ballistic Missile Agency,Explorer 4,Juno-I | Explorer 4,07/26/1958 3 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno-I,Launch Successful
Army Ballistic Missile Agency,Able I (Pioneer),Thor Able I | Able I (Pioneer),08/17/1958 12:18 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able I,Launch Failure
Army Ballistic Missile Agency,Explorer 5,Juno-I | Explorer 5,08/24/1958 6:17 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno-I,Launch Failure
Army Ballistic Missile Agency,Pioneer 1,Thor Able I | Pioneer 1,10/11/1958 8:42 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able I,Launch Successful
Army Ballistic Missile Agency,Beacon,Juno-I | Beacon,10/23/1958 3:21 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno-I,Launch Failure
Army Ballistic Missile Agency,Pioneer 2,Thor Able I | Pioneer 2,11/08/1958 7:30 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able I,Launch Failure
Army Ballistic Missile Agency,—,Juno II | S-45,02/25/1961 12:13 a.m.,"Launch Complex 26B | Cape Canaveral, FL, USA",Juno II,Launch Failure
Army Ballistic Missile Agency,—,Juno II | Explorer 11,04/27/1961 2:16 p.m.,"Launch Complex 26B | Cape Canaveral, FL, USA",Juno II,Launch Successful
Army Ballistic Missile Agency,—,Juno II | S-45A,05/24/1961 7:48 p.m.,"Launch Complex 26B | Cape Canaveral, FL, USA",Juno II,Launch Failure
