launch_service_provider,mission,name,net,pad,rocket,status
Blue Origin,NS-1,New Shepard | NS-1,04/29/2015 5:06 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-2,New Shepard | NS-2,11/23/2015 5:21 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-3,New Shepard | NS-3,01/22/2016 4 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-4,New Shepard | NS-4,04/02/2016 4:18 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-5,New Shepard | NS-5,06/19/2016 3:15 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-6,New Shepard | NS-6,10/05/2016 4:36 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-7,New Shepard | NS-7,12/12/2017 4:59 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-8,New Shepard | NS-8,04/29/2018 5:07 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-9,New Shepard | NS-9,07/18/2018 3 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-10,New Shepard | NS-10,01/23/2019 3:05 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-11,New Shepard | NS-11,05/02/2019 1:35 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-12,New Shepard | NS-12,12/11/2019 5:55 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-13,New Shepard | NS-13,10/13/2020 1:37 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-14,New Shepard | NS-14,01/14/2021 5:19 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-15,New Shepard | NS-15,04/14/2021 4:49 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-16,New Shepard | NS-16,07/20/2021 1:12 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-17,New Shepard | NS-17,08/26/2021 2:31 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-18,New Shepard | NS-18,10/13/2021 2:49 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-19,New Shepard | NS-19,12/11/2021 3 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-20,New Shepard | NS-20,03/31/2022 1:58 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-21,New Shepard | NS-21,06/04/2022 1:25 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-22,New Shepard | NS-22,08/04/2022 1:57 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Successful
Blue Origin,NS-23,New Shepard | NS-23,09/12/2022 2:27 p.m.,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,Launch Failure
Blue Origin,NS-24,New Shepard | NS-24,12/18/2023 midnight,"West Texas Suborbital Launch Site/ Corn Ranch | Corn Ranch, Van Horn, TX, USA",New Shepard,To Be Determined
Blue Origin,EscaPADE,New Glenn | EscaPADE (Maiden flight),08/31/2024 midnight,"Launch Complex 36A | Cape Canaveral, FL, USA",New Glenn,To Be Determined
Blue Origin,Project Kuiper (New Glenn #1),New Glenn | Project Kuiper (New Glenn #1),12/31/2024 midnight,"Launch Complex 36A | Cape Canaveral, FL, USA",New Glenn,To Be Determined
