launch_service_provider,mission,name,net,pad,rocket,status
General Dynamics,CRRES,Atlas I | CRRES,07/25/1990 7:21 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
General Dynamics,BS-3H,Atlas I | BS-3H,04/18/1991 11:30 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Failure
General Dynamics,Galaxy 5,Atlas I | Galaxy 5,03/14/1992 midnight,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
General Dynamics,Galaxy 1R,Atlas I | Galaxy 1R,08/22/1992 10:40 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Failure
General Dynamics,UHF F/O F1,Atlas I | UHF F/O F1,03/25/1993 9:38 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
General Dynamics,UHF F/O F2,Atlas I | UHF F/O F2,09/03/1993 11:17 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
General Dynamics,GOES 8,Atlas I | GOES 8,04/13/1994 6:04 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
General Dynamics,UHF F/O F3,Atlas I | UHF F/O F3,06/24/1994 1:50 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
General Dynamics,GOES 9,Atlas I | GOES 9,05/23/1995 5:52 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
General Dynamics,BeppoSAX,Atlas I | BeppoSAX,04/30/1996 4:31 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
General Dynamics,GOES 10,Atlas I | GOES 10,04/25/1997 5:49 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas I,Launch Successful
