launch_service_provider,mission,name,net,pad,rocket,status
ISC Kosmotras,UOSAT-OSCAR-36,Dnepr | UOSAT-OSCAR-36,04/21/1999 4:59 a.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,SmallSat Rideshare,Dnepr | SmallSat Rideshare,09/26/2000 10:05 a.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,AATiS-OSCAR-49,Dnepr | AATiS-OSCAR-49,12/20/2002 5 p.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,Aprizesat-2,Dnepr | Aprizesat-2,06/29/2004 6:30 a.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,Kirari,Dnepr | Kirari,08/23/2005 9:09 p.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,Genesis-1,Dnepr | Genesis-1,07/12/2006 2:53 p.m.,"370/11 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,BelKA,Dnepr | BelKA,07/26/2006 7:43 p.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Failure
ISC Kosmotras,EgyptSat 1 & Saudisat 3,Dnepr | EgyptSat 1 & Saudisat 3,04/17/2007 6:46 a.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,TerraSAR-X,Dnepr | TerraSAR-X,06/15/2007 2:14 a.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,Genesis-2,Dnepr | Genesis-2,06/28/2007 3:02 p.m.,"370/11 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,RapidEye 1 to 5,Dnepr | RapidEye 1 to 5,08/29/2008 7:15 a.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,Thaichote,Dnepr | Thaichote,10/01/2008 6:37 a.m.,"370/13 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,DubaiSat 1,Dnepr | DubaiSat 1,07/29/2009 6:46 p.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,—,Dnepr 1 | Cryosat-2,04/08/2010 1:57 p.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,—,"Dnepr 1 | Prisma-Mango, Prisma-Tango, Picard, BPA-1",06/15/2010 2:42 p.m.,"370/13 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,—,Dnepr 1 | TanDEM-X,06/21/2010 2:14 a.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan",Dnepr,Launch Successful
ISC Kosmotras,—,Dnepr 1 | Sich-2,08/17/2011 7:12 a.m.,"370/13 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,—,Dnepr 1 | KOMPSat-5 (Arirang-5),08/22/2013 2:39 p.m.,"370/13 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,—,"Dnepr 1 | Multipayload mission, 33 satellites",11/21/2013 7:10 a.m.,"370/13 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,—,"Dnepr 1 | Multipayload, 37 satellites.",06/19/2014 7:11 p.m.,"370/13 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,—,Dnepr 1 | ASNARO,11/06/2014 7:35 a.m.,"370/13 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
ISC Kosmotras,—,Dnepr 1 | KOMPSat-3A,03/25/2015 10:08 p.m.,"370/13 | Dombarovskiy, Russian Federation",Dnepr,Launch Successful
