launch_service_provider,mission,name,net,pad,rocket,status
Indian Space Research Organization,Rohini 1A,SLV-3 | Rohini 1A,08/10/1979 2:28 a.m.,"SLV-3 Launch Pad | Satish Dhawan Space Centre, India",SLV-3,Launch Failure
Indian Space Research Organization,Rohini 1B,SLV-3 | Rohini 1B,07/18/1980 2:33 a.m.,"SLV-3 Launch Pad | Satish Dhawan Space Centre, India",SLV-3,Launch Successful
Indian Space Research Organization,Rohini RS-D-1,SLV-3 | Rohini RS-D-1,05/31/1981 3:33 a.m.,"SLV-3 Launch Pad | Satish Dhawan Space Centre, India",SLV-3,Launch Successful
Indian Space Research Organization,Rohini RS-D-2,SLV-3 | Rohini RS-D-2,04/17/1983 5:35 a.m.,"SLV-3 Launch Pad | Satish Dhawan Space Centre, India",SLV-3,Launch Successful
Indian Space Research Organization,SROSS-A,ASLV | SROSS-A,03/24/1987 6:39 a.m.,"SLV-3 Launch Pad | Satish Dhawan Space Centre, India",ASLV,Launch Failure
Indian Space Research Organization,SROSS-B,ASLV | SROSS-B,07/13/1988 9:18 a.m.,"SLV-3 Launch Pad | Satish Dhawan Space Centre, India",ASLV,Launch Failure
Indian Space Research Organization,SROSS-C,ASLV | SROSS-C,05/20/1992 12:30 a.m.,"SLV-3 Launch Pad | Satish Dhawan Space Centre, India",ASLV,Launch Successful
Indian Space Research Organization,IRS-P1,PSLV | IRS-P1,09/20/1993 5:12 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Failure
Indian Space Research Organization,SROSS-C2,ASLV | SROSS-C2,05/04/1994 midnight,"SLV-3 Launch Pad | Satish Dhawan Space Centre, India",ASLV,Launch Successful
Indian Space Research Organization,IRS-P2,PSLV | IRS-P2,10/15/1994 5:05 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,IRS-P3,PSLV | IRS-P3,03/21/1996 4:53 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,IRS-1D,PSLV | IRS-1D,09/29/1997 4:47 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Failure
Indian Space Research Organization,IRS-P4 & Uribyol-3,PSLV | IRS-P4 & Uribyol-3,05/26/1999 6:22 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,—,GSLV | GSAT-1,04/18/2001 10:13 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",GSLV,Launch Failure
Indian Space Research Organization,TES,PSLV | TES,10/22/2001 4:53 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,KALPANA-1,PSLV | KALPANA-1,09/12/2002 10:23 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,—,GSLV | GSAT-2,05/08/2003 11:28 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",GSLV,Launch Successful
Indian Space Research Organization,Resourcesat,PSLV | Resourcesat,10/17/2003 4:52 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,—,GSLV | GSAT-3,09/20/2004 10:31 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",GSLV,Launch Successful
Indian Space Research Organization,Cartosat-1,PSLV | Cartosat-1,05/05/2005 4:45 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,—,GSLV | INSAT-4C,07/10/2006 12:08 p.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV,Launch Failure
Indian Space Research Organization,Cartosat 2 & SRE 1,PSLV | Cartosat 2 & SRE 1,01/10/2007 3:54 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,AGILE,PSLV | AGILE,04/23/2007 10 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,—,GSLV | INSAT-4CR,09/02/2007 12:51 p.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV,Launch Failure
Indian Space Research Organization,TECSAR 1,PSLV | TECSAR 1,01/21/2008 3:45 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,Cartosat 2A,PSLV | Cartosat 2A,04/28/2008 3:53 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,—,PSLV XL | Chandrayaan-1,10/22/2008 12:52 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV-XL,Launch Successful
Indian Space Research Organization,RISAT-2,PSLV | RISAT-2,04/20/2009 1:15 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,Oceansat-2,PSLV | Oceansat-2,09/23/2009 6:21 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,—,GSLV Mk II | GSAT-4 (HealthSat),04/15/2010 10:57 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV Mk II,Launch Failure
Indian Space Research Organization,"Cartosat-2B, AlSat-2A, StudSat, AISSat-1, TIsat-1","PSLV-CA | Cartosat-2B, AlSat-2A, StudSat, AISSat-1, TIsat-1",07/12/2010 3:53 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India",PSLV,Launch Successful
Indian Space Research Organization,—,GSLV | GSAT-5P,12/25/2010 10:34 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India",GSLV,Launch Failure
