launch_service_provider,mission,name,net,pad,rocket,status
International Launch Services,SES-7,Proton-M Briz-M | SES-7 (Indostar 2/ProtoStar 2),05/16/2009 12:57 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | Intelsat 16,02/12/2010 12:39 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | Echostar XIV,03/20/2010 6:26 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,SES-1,Proton-M / Briz-M Enhanced | SES-1,04/24/2010 11:19 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | Badr-5 (Arabsat 5B),06/03/2010 10 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | EchoStar XV,07/10/2010 6:40 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Sirius XM-5,10/14/2010 6:53 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | SkyTerra-1,11/14/2010 5:29 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | KA-SAT,12/26/2010 10:51 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | Telstar 14R,05/20/2011 7:15 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,SES-3 & KazSat-2,Proton-M / Briz-M Enhanced | SES-3 & KazSat-2,07/15/2011 11:16 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | QuetzSat 1,09/29/2011 6:32 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | ViaSat-1,10/19/2011 6:48 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M/Briz-M Enhanced | Asiasat 7,11/25/2011 7:10 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,SES-4,Proton-M Briz-M | SES-4,02/14/2012 7:36 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | Intelsat 22,03/25/2012 12:10 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | Yahsat 1B,04/23/2012 10:18 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Nimiq 6,05/17/2012 7:12 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,SES-5,Proton-M / Briz-M Enhanced | SES-5,07/09/2012 6:38 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | Intelsat 23,10/14/2012 8:37 a.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | EchoStar XVI,11/20/2012 6:31 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch Successful
International Launch Services,—,Proton-M / Briz-M Enhanced | Yamal-402,12/08/2012 1:13 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M,Launch was a Partial Failure
International Launch Services,—,Proton-M Briz-M | Satmex-8,03/26/2013 7:06 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Anik-G1,Proton-M Briz-M | Anik-G1,04/15/2013 6:36 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Eutelsat 3D,Proton-M Briz-M | Eutelsat 3D (W3D),05/14/2013 4:02 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,SES-6,Proton-M Briz-M | SES-6,06/03/2013 9:18 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Astra 2E,09/29/2013 9:38 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Sirius FM-6,10/25/2013 6:08 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Inmarsat-5 F1,12/08/2013 12:12 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Türksat 4A,Proton-M/Briz-M | Türksat-4A,02/14/2014 9:09 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Yamal-401,12/15/2014 12:16 a.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Astra 2G,12/27/2014 9:37 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Inmarsat-5 F2,02/01/2015 12:31 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,—,Proton-M Briz-M | Mexsat-1,05/16/2015 5:47 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Failure
International Launch Services,Inmarsat-5 F3,Proton-M Briz-M | Inmarsat-5 F3,08/28/2015 11:44 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Türksat 4B,Proton-M/Briz-M | Türksat 4B,10/16/2015 8:40 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Eutelsat 9B,Proton-M Briz-M | Eutelsat 9B,01/29/2016 10:20 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Intelsat 31/DLA-2,Proton-M Briz-M | Intelsat 31/DLA-2,06/09/2016 7:10 a.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Echostar 21,Proton-M Briz-M | Echostar 21,06/08/2017 3:45 a.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Amazonas 5,Proton-M Briz-M | Amazonas 5,09/11/2017 7:23 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,AsiaSat 9,Proton-M Briz-M | AsiaSat 9,09/28/2017 6:52 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
International Launch Services,Eutelsat 5 West B & MEV-1,Proton-M/Briz-M | Eutelsat 5 West B & MEV-1,10/09/2019 10:17 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-M Briz-M,Launch Successful
