launch_service_provider,mission,name,net,pad,rocket,status
Japan Aerospace Exploration Agency,Myojo & Ryusei,H-II | Myojo & Ryusei,02/03/1994 10:20 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-II,Launch Successful
Japan Aerospace Exploration Agency,Kiku-6,H-II | Kiku-6,08/28/1994 7:50 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-II,Launch Successful
Japan Aerospace Exploration Agency,SFU & Himawari 5,H-II | SFU & Himawari 5,03/18/1995 8:01 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-II,Launch Successful
Japan Aerospace Exploration Agency,Midori,H-II | Midori,08/17/1996 1:53 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-II,Launch Successful
Japan Aerospace Exploration Agency,TRMM & ETS 7,H-II | TRMM & ETS 7,11/27/1997 9:27 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-II,Launch Successful
Japan Aerospace Exploration Agency,Kakehashi,H-II | Kakehashi,02/21/1998 7:55 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-II,Launch Successful
Japan Aerospace Exploration Agency,MTSAT,H-II | MTSAT,11/15/1999 7:29 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-II,Launch Failure
Japan Aerospace Exploration Agency,LRE,H-IIA 202 | LRE,08/29/2001 7 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Japan Aerospace Exploration Agency,Tsubasa,H-IIA 2024 | Tsubasa,02/04/2002 2:45 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2024,Launch Successful
Japan Aerospace Exploration Agency,USERS & DRTS,H-IIA 2024 | USERS & DRTS,09/10/2002 8:20 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2024,Launch Successful
Japan Aerospace Exploration Agency,Midori-2,H-IIA 202 | Midori-2,12/14/2002 1:31 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Japan Aerospace Exploration Agency,IGS Radar 1 & IGS Optical 1,H-IIA 2024 | IGS Radar 1 & IGS Optical 1,03/28/2003 1:27 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2024,Launch Successful
Japan Aerospace Exploration Agency,IGS Radar (2) & IGS Optical (2),H-IIA 2024 | IGS Radar (2) & IGS Optical (2),11/29/2003 4:33 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2024,Launch Failure
Japan Aerospace Exploration Agency,Himawari-6 (MTSAT-1R),H-IIA 2022 | Himawari-6 (MTSAT-1R),02/26/2005 9:25 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2022,Launch Successful
Japan Aerospace Exploration Agency,Suzaku,M-V | Suzaku,07/10/2005 3:30 a.m.,"Mu Center | Uchinoura Space Center, Japan",M-V,Launch Successful
Japan Aerospace Exploration Agency,Daichi,H-IIA 2022 | Daichi,01/24/2006 1:33 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2022,Launch Successful
Japan Aerospace Exploration Agency,Himawari-7 (MTSAT-2),H-IIA 2024 | Himawari-7 (MTSAT-2),02/18/2006 6:27 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2024,Launch Successful
Japan Aerospace Exploration Agency,Akari,M-V | Akari,02/21/2006 9:28 p.m.,"Mu Center | Uchinoura Space Center, Japan",M-V,Launch Successful
Japan Aerospace Exploration Agency,IGS Optical 2,H-IIA 202 | IGS Optical 2,09/11/2006 4:35 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Japan Aerospace Exploration Agency,Hinode,M-V | Hinode,09/22/2006 9:36 p.m.,"Mu Center | Uchinoura Space Center, Japan",M-V,Launch Successful
Japan Aerospace Exploration Agency,Kiku-8,H-IIA 204 | Kiku-8,12/18/2006 6:32 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 204,Launch Successful
Japan Aerospace Exploration Agency,IGS Radar 2 & IGS Optical 3V,H-IIA 2024 | IGS Radar 2 & IGS Optical 3V,02/24/2007 4:41 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2024,Launch Successful
Japan Aerospace Exploration Agency,Kaguya,H-IIA 2022 | Kaguya,09/14/2007 1:31 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2022,Launch Successful
Japan Aerospace Exploration Agency,Kizuna,H-IIA 2024 | Kizuna,02/23/2008 8:55 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 2024,Launch Successful
Japan Aerospace Exploration Agency,GOSAT,H-IIA 202 | GOSAT,01/23/2009 3:54 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Japan Aerospace Exploration Agency,IGS Optical 3,H-IIA 202 | IGS-Optical 3,11/28/2009 1:21 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Japan Aerospace Exploration Agency,Hisaki (SPRINT-A),Epsilon | Hisaki (SPRINT-A),09/14/2013 5 a.m.,"Mu Center | Uchinoura Space Center, Japan",Epsilon,Launch Successful
Japan Aerospace Exploration Agency,ERG (Exploration of energization and Radiation in Geospace),Epsilon | ERG (ARASE),12/20/2016 11 a.m.,"Mu Center | Uchinoura Space Center, Japan",Epsilon,Launch Successful
Japan Aerospace Exploration Agency,TRICOM-1,SS-520-4 | TRICOM-1,01/14/2017 11:33 p.m.,"KS Center | Uchinoura Space Center, Japan",SS-520,Launch Failure
Japan Aerospace Exploration Agency,ASNARO-2,Epsilon | ASNARO-2,01/17/2018 9:06 p.m.,"Mu Center | Uchinoura Space Center, Japan",Epsilon,Launch Successful
Japan Aerospace Exploration Agency,TRICOM-1R,SS-520-5 | TRICOM-1R,02/03/2018 5:03 a.m.,"KS Center | Uchinoura Space Center, Japan",SS-520,Launch Successful
Japan Aerospace Exploration Agency,IGS Optical 6,H-IIA 202 | IGS Optical 6,02/27/2018 4:34 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Japan Aerospace Exploration Agency,RAPIS-1 & others,Epsilon | RAPIS-1 & others,01/18/2019 12:50 a.m.,"Mu Center | Uchinoura Space Center, Japan",Epsilon,Launch Successful
Japan Aerospace Exploration Agency,RAISE-2 & others,Epsilon | RAISE-2 & others,11/09/2021 12:55 a.m.,"Mu Center | Uchinoura Space Center, Japan",Epsilon,Launch Successful
Japan Aerospace Exploration Agency,RAISE-3 & others,Epsilon | RAISE-3 & others,10/12/2022 12:50 a.m.,"Mu Center | Uchinoura Space Center, Japan",Epsilon,Launch Failure
Japan Aerospace Exploration Agency,XRISM & SLIM,H-IIA 202 | XRISM & SLIM,09/06/2023 11:42 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
