launch_service_provider,mission,name,net,pad,rocket,status
Khrunichev State Research and Production Space Center,Uragan 45 to 47,Proton | Uragan 45 to 47,01/29/1992 10:19 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Gorizont 25,Proton | Gorizont 25,04/02/1992 1:50 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Gorizont 26,Proton | Gorizont 26,07/14/1992 10:02 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Uragan 48 to 50,Proton | Uragan 48 to 50,07/30/1992 1:59 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,US-KS 6,Proton | US-KS 6,09/10/1992 6:01 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Ekran-M 3,Proton | Ekran-M 3,10/30/1992 2:59 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Gorizont 27,Proton | Gorizont 27,11/27/1992 1:10 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,US-KMO 2,Proton | US-KMO 2,12/17/1992 12:45 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Uragan 51 to 53,Proton | Uragan 51 to 53,02/17/1993 8:09 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Raduga 29,Proton | Raduga 29,03/25/1993 2:28 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Gorizont 39L,Proton | Gorizont 39L,05/27/1993 1:22 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Failure
Khrunichev State Research and Production Space Center,Raduga 30,Proton | Raduga 30,09/30/1993 5:05 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Gorizont 28,Proton | Gorizont 28,10/28/1993 3:17 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Rimsat G1,Proton | Rimsat G1,11/18/1993 1:54 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Gals 1,Proton-K/DM-2M | Gals 1,01/20/1994 9:49 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/DM-2M,Launch Successful
Khrunichev State Research and Production Space Center,Raduga-1 3,Proton | Raduga-1 3,02/05/1994 8:46 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Raduga 31,Proton | Raduga 31,02/18/1994 7:56 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Uragan 54 to 56,Proton | Uragan 54 to 56,04/11/1994 7:49 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Rimsat G2,Proton | Rimsat G2,05/20/1994 2:01 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,US-KMO 3,Proton | US-KMO 3,07/06/1994 11:58 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Uragan 57 to 59,Proton | Uragan 57 to 59,08/11/1994 3:27 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Potok 8,Proton | Potok 8,09/21/1994 5:53 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Ekspress-2,Proton-K/DM-2M | Ekspress-2,10/13/1994 4:19 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/DM-2M,Launch Successful
Khrunichev State Research and Production Space Center,Elektro,Proton | Elektro,10/31/1994 2:30 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Uragan 60 to 62,Proton | Uragan 60 to 62,11/20/1994 12:39 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Altair 13L (Luch 1),Proton | Altair 13L (Luch 1),12/16/1994 noon,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Raduga 32,Proton | Raduga 32,12/28/1994 11:31 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Uragan 63 to 65,Proton | Uragan 63 to 65,03/07/1995 9:23 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Spektr,Proton | Spektr,05/20/1995 3:33 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Uragan 66 to 68,Proton | Uragan 66 to 68,07/24/1995 3:52 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Potok 9,Proton | Potok 9,08/30/1995 7:33 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Luch 2,Proton | Luch 2,10/11/1995 4:26 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Gals 2,Proton | Gals 2,11/17/1995 2:25 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Uragan 69 to 71,Proton | Uragan 69 to 71,12/14/1995 6:10 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
