launch_service_provider,mission,name,net,pad,rocket,status
Lockheed Space Operations Company,STS-41-B,Space Shuttle Challenger / OV-099 | STS-41-B,02/03/1984 1 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-41-C,Space Shuttle Challenger OV-099 | STS-41-C,04/06/1984 1:58 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-41-D,Space Shuttle Discovery / OV-103 | STS-41-D,08/30/1984 12:41 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-41-G,Space Shuttle Challenger / OV-099 | STS-41-G,10/05/1984 11:03 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-A,Space Shuttle Discovery / OV-103 | STS-51-A,11/08/1984 12:15 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-C,Space Shuttle Discovery / OV-103 | STS-51-C,01/24/1985 1:04 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-D,Space Shuttle Discovery / OV-103 | STS-51-D,04/12/1985 1:59 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-B,Space Shuttle Challenger / OV-099 | STS-51-B,04/29/1985 4:02 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-G,Space Shuttle Discovery / OV-103 | STS-51-G,06/17/1985 11:33 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-F,Space Shuttle Challenger / OV-099 | STS-51-F,07/29/1985 10 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-I,Space Shuttle Discovery / OV-103 | STS-51-I,08/27/1985 10:58 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-J,Space Shuttle Atlantis / OV-104 | STS-51-J,10/03/1985 3:15 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-61-A,Space Shuttle Challenger / OV-099 | STS-61-A,10/30/1985 5 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-61-B,Space Shuttle Atlantis / OV-104 | STS-61-B,11/27/1985 12:29 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-61-C,Space Shuttle Columbia / OV-102 | STS-61-C,01/12/1986 11:55 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
Lockheed Space Operations Company,STS-51-L,Space Shuttle Challenger / OV-099 | STS-51-L,01/28/1986 4:38 p.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Failure
