launch_service_provider,mission,name,net,pad,rocket,status
Ministry of Aerospace Industry,FSW-1 2,Long March 2C | FSW-1 2,08/05/1988 7:28 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Aerospace Industry,Feng Yun 1A,Long March 4A | Feng Yun 1A,09/06/1988 8:30 p.m.,"Launch Complex 7 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 4A,Launch Successful
Ministry of Aerospace Industry,DFH-2A 3,Long March 3 | DFH-2A 3,12/22/1988 12:40 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Aerospace Industry,DFH-2A 4,Long March 3 | DFH-2A 4,02/04/1990 12:27 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Aerospace Industry,Asiasat 1,Long March 3 | Asiasat 1,04/07/1990 1:30 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Aerospace Industry,BADR & Aussat-B-MFS,Long March 2E | BADR & Aussat-B-MFS,07/16/1990 12:40 a.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 2E,Launch Successful
Ministry of Aerospace Industry,Feng Yun 1B,Long March 4A | Feng Yun 1B,09/03/1990 12:53 a.m.,"Launch Complex 7 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 4A,Launch Successful
Ministry of Aerospace Industry,FSW-1 3,Long March 2C | FSW-1 3,10/05/1990 6:14 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Aerospace Industry,Fanhui Shi Weixing (13),Long March 2D | Fanhui Shi Weixing (13),08/09/1992 8 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2D,Launch Successful
Ministry of Aerospace Industry,Optus B1,Long March 2E | Optus B1,08/13/1992 11 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 2E,Launch Successful
Ministry of Aerospace Industry,FSW-1 4 & Freja,Long March 2C | FSW-1 4 & Freja,10/06/1992 6:20 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Aerospace Industry,Optus B2,Long March 2E | Optus B2,12/21/1992 11:21 a.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 2E,Launch Failure
