launch_service_provider,mission,name,net,pad,rocket,status
Mitsubishi Heavy Industries,Ajisai,H-1 | Ajisai,08/12/1986 8:45 p.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Kiku 5,H-1 | Kiku 5,08/27/1987 9:20 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Sakura 3A,H-1 | Sakura 3A,02/19/1988 10:05 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Sakura 3B,H-1 | Sakura 3B,09/16/1988 9:59 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Himawari 4,H-1 | Himawari 4,09/05/1989 7:11 p.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Momo 1b,H-1 | Momo 1b,02/07/1990 1:33 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Yuri 3A,H-1 | Yuri 3A,08/28/1990 9:05 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Yuri 3B,H-1 | Yuri 3B,08/25/1991 8:40 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Fuyo 1,H-1 | Fuyo 1,02/11/1992 1:50 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",H-1,Launch Successful
Mitsubishi Heavy Industries,Kounotori 1 (HTV-1),H-IIB 304 | Kounotori 1 (HTV-1),09/10/2009 5:01 p.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H-IIB,Launch Successful
Mitsubishi Heavy Industries,Akatsuki (Planet-C),H-IIA 202 | Akatsuki (Planet-C),05/20/2010 9:58 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Michibiki (QZS-1),H-IIA 202 | Michibiki (QZS-1),09/11/2010 11:17 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Kounotori 2 (HTV-2),H-IIB 304 | Kounotori 2 (HTV-2),01/22/2011 5:37 a.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H-IIB,Launch Successful
Mitsubishi Heavy Industries,IGS Optical 4,H-IIA 202 | IGS Optical 4,09/23/2011 4:36 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,IGS Radar 3,H-IIA 202 | IGS Radar 3,12/12/2011 1:21 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,GCOM-W1,H-IIA 202 | GCOM-W1,05/17/2012 4:39 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Kounotori 3 (HTV-3),H-IIB 304 | Kounotori 3 (HTV-3),07/21/2012 2:06 a.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H-IIB,Launch Successful
Mitsubishi Heavy Industries,IGS Radar 4 & IGS Optical 5V,H-IIA 202 | IGS Radar 4 & IGS Optical 5V,01/27/2013 4:40 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan",H-IIA 202,Launch Successful
Mitsubishi Heavy Industries,Kounotori 4 (HTV-4),H-IIB 304 | Kounotori 4 (HTV-4),08/03/2013 7:48 p.m.,"Yoshinobu Launch Complex LP-2 | Tanegashima Space Center, Japan",H-IIB,Launch Successful
