launch_service_provider,mission,name,net,pad,rocket,status
National Aeronautics and Space Administration,Pioneer 3,Juno II | Pioneer 3,12/06/1958 5:44 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno II,Launch Successful
National Aeronautics and Space Administration,Pioneer 4,Juno II | Pioneer 4,03/03/1959 5:10 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno II,Launch Successful
National Aeronautics and Space Administration,NASA S-1,Juno II | NASA S-1,07/16/1959 5:37 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno II,Launch Failure
National Aeronautics and Space Administration,Beacon,Juno II | Beacon,08/15/1959 12:31 a.m.,"Launch Complex 26B | Cape Canaveral, FL, USA",Juno II,Launch Failure
National Aeronautics and Space Administration,LJ-1,Little Joe | LJ-1,08/21/1959 noon,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch Failure
National Aeronautics and Space Administration,Explorer 7,Juno II | Explorer 7,10/13/1959 3:30 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno II,Launch Successful
National Aeronautics and Space Administration,LJ-2,Little Joe | LJ-2,12/04/1959 4:20 p.m.,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch Successful
National Aeronautics and Space Administration,LJ-1B,Little Joe | LJ-1B,01/21/1960 2:23 p.m.,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch Successful
National Aeronautics and Space Administration,NASA S-46,Juno II | NASA S-46,03/23/1960 1:35 p.m.,"Launch Complex 26B | Cape Canaveral, FL, USA",Juno II,Launch Failure
National Aeronautics and Space Administration,Mercury-Atlas 1,Atlas LV-3B | Mercury-Atlas 1,07/29/1960 1:13 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas LV-3B,Launch Failure
National Aeronautics and Space Administration,ST-2,Scout X-1 | ST-2,10/04/1960 3:23 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA",Scout X-1,Launch Successful
National Aeronautics and Space Administration,Explorer 8,Juno II | Explorer 8,11/03/1960 5:23 a.m.,"Launch Complex 26B | Cape Canaveral, FL, USA",Juno II,Launch Successful
National Aeronautics and Space Administration,LJ-5,Little Joe | LJ-5,11/08/1960 3:18 p.m.,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch Failure
National Aeronautics and Space Administration,Mercury-Redstone 1,Redstone MRLV | Mercury-Redstone 1,11/21/1960 2 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Redstone,Launch Failure
National Aeronautics and Space Administration,NASA S-56,Scout X-1 | NASA S-56,12/04/1960 9:14 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA",Scout X-1,Launch Failure
National Aeronautics and Space Administration,Mercury-Redstone 1A,Redstone MRLV | Mercury-Redstone 1A,12/19/1960 4:15 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Redstone,Launch Successful
National Aeronautics and Space Administration,Mercury-Redstone 2,Redstone MRLV | Mercury-Redstone 2,01/31/1961 4:55 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Redstone,Launch Successful
National Aeronautics and Space Administration,—,Scout X-1 | Explorer 9,02/16/1961 1:05 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA",Scout X-1,Launch Successful
National Aeronautics and Space Administration,Mercury-Atlas 2,Atlas LV-3B | Mercury-Atlas 2,02/21/1961 2:10 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas LV-3B,Launch Successful
National Aeronautics and Space Administration,Mercury-Redstone BD,Redstone MRLV | Mercury-Redstone BD,03/24/1961 5:30 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Redstone,Launch Successful
National Aeronautics and Space Administration,Trailblazer 1g,Trailblazer 1 | Trailblazer 1g,04/21/1961 5:56 a.m.,"Unknown Pad | Wallops Island, Virginia, USA",Trailblazer 1,Launch Successful
National Aeronautics and Space Administration,Mercury-Atlas 3,Atlas LV-3B | Mercury-Atlas 3,04/25/1961 4:15 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas LV-3B,Launch Failure
National Aeronautics and Space Administration,LJ-5B,Little Joe | LJ-5B,04/28/1961 2:03 p.m.,"Launch Area 4 | Wallops Island, Virginia, USA",Little Joe,Launch Successful
National Aeronautics and Space Administration,Mercury-Redstone 3,Redstone MRLV | Mercury-Redstone 3,05/05/1961 2:34 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Redstone,Launch Successful
National Aeronautics and Space Administration,—,Scout X-1 | S-55,06/30/1961 5:09 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA",Scout X-1,Launch Failure
National Aeronautics and Space Administration,Mercury-Redstone 4,Redstone MRLV | Mercury-Redstone 4,07/21/1961 12:20 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Redstone,Launch Successful
National Aeronautics and Space Administration,—,Scout X-1 | Explorer 13,08/25/1961 6:29 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA",Scout X-1,Launch Failure
National Aeronautics and Space Administration,Mercury-Atlas 4,Atlas LV-3B | Mercury-Atlas 4,09/13/1961 2:04 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas LV-3B,Launch Successful
National Aeronautics and Space Administration,P-21,Scout X-1 | P-21,10/19/1961 5:38 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA",Scout X-1,Launch Successful
National Aeronautics and Space Administration,Saturn SA-1,Saturn I | Saturn SA-1,10/27/1961 3:06 p.m.,"Launch Complex 34 | Cape Canaveral, FL, USA",Saturn I,Launch Successful
National Aeronautics and Space Administration,Mercury-Scout 1,Blue Scout II | Mercury-Scout 1,11/01/1961 3:32 p.m.,"Launch Complex 18B | Cape Canaveral, FL, USA",Blue Scout II,Launch Failure
National Aeronautics and Space Administration,Mercury-Atlas 5,Atlas LV-3B | Mercury-Atlas 5,11/29/1961 3:07 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas LV-3B,Launch Successful
