launch_service_provider,mission,name,net,pad,rocket,status
National Space Development Agency of Japan,Kiku-1,N-I | Kiku-1,09/09/1975 5:30 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
National Space Development Agency of Japan,Ume 1,N-I | Ume 1,02/29/1976 3:30 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
National Space Development Agency of Japan,Kiku 2,N-I | Kiku 2,02/23/1977 8:50 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
National Space Development Agency of Japan,Ume 2,N-I | Ume 2,02/16/1978 4 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
National Space Development Agency of Japan,Ayame,N-I | Ayame,02/06/1979 8:46 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Failure
National Space Development Agency of Japan,Ayame 2,N-I | Ayame 2,02/22/1980 8:35 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
National Space Development Agency of Japan,Kiku-3,N-2 | Kiku-3,02/11/1981 8:30 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-2,Launch Successful
National Space Development Agency of Japan,Himawari 2,N-2 | Himawari 2,08/10/1981 8:03 p.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-2,Launch Successful
National Space Development Agency of Japan,Kiku-4,N-I | Kiku-4,09/03/1982 5 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-I,Launch Successful
National Space Development Agency of Japan,Sakura 2A,N-2 | Sakura 2A,02/04/1983 8:37 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-2,Launch Successful
National Space Development Agency of Japan,Sakura 2B,N-2 | Sakura 2B,08/05/1983 8:29 p.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-2,Launch Successful
National Space Development Agency of Japan,Yuri 2A,N-2 | Yuri 2A,01/23/1984 7:58 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-2,Launch Successful
National Space Development Agency of Japan,Himawari 3,N-2 | Himawari 3,08/02/1984 8:30 p.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-2,Launch Successful
National Space Development Agency of Japan,Yuri 2B,N-2 | Yuri 2B,02/12/1986 7:55 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-2,Launch Successful
National Space Development Agency of Japan,Momo 1a,N-2 | Momo 1a,02/19/1987 1:23 a.m.,"Osaki Launch Complex | Tanegashima Space Center, Japan",N-2,Launch Successful
