launch_service_provider,mission,name,net,pad,rocket,status
Production Corporation Polyot,Parus 75,Kosmos-3M | Parus 75,02/17/1992 10:05 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Tsikada 18,Kosmos-3M | Tsikada 18,03/09/1992 10:35 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 76,Kosmos-3M | Parus 76,04/15/1992 7:17 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Strela-1M 361-368,Kosmos-3M | Strela-1M 361-368,06/03/1992 12:50 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 77,Kosmos-3M | Parus 77,07/01/1992 8:16 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Strela-2M 50,Kosmos-3M | Strela-2M 50,08/12/1992 5:44 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 78,Kosmos-3M | Parus 78,10/29/1992 10:40 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Tsikada 19,Kosmos-3M | Tsikada 19,01/12/1993 11:10 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 79,Kosmos-3M | Parus 79,02/09/1993 2:56 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 80,Kosmos-3M | Parus 80,04/01/1993 6:57 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Strela-2M 51,Kosmos-3M | Strela-2M 51,06/16/1993 4:17 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Taifun-1B 13,Kosmos-3M | Taifun-1B 13,10/26/1993 1 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 81,Kosmos-3M | Parus 81,11/02/1993 12:10 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 82,Kosmos-3M | Parus 82,04/26/1994 2:14 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Nadezhda 7,Kosmos-3M | Nadezhda 7,07/14/1994 5:13 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Obzor Test,Kosmos-3M | Obzor Test,08/02/1994 8 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Taifun-1 24,Kosmos-3M | Taifun-1 24,09/27/1994 2 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Strela-2M 52,Kosmos-3M | Strela-2M 52,12/20/1994 5:11 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Tsikada 20,Kosmos-3M | Tsikada 20,01/24/1995 3:54 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Taifun-2 27,Kosmos-3M | Taifun-2 27,03/02/1995 1 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 83,Kosmos-3M | Parus 83,03/22/1995 4:09 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Tsikada 21,Kosmos-3M | Tsikada 21,07/05/1995 3:09 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 84,Kosmos-3M | Parus 84,10/06/1995 3:23 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Failure
Production Corporation Polyot,Parus 85,Kosmos-3M | Parus 85,01/16/1996 3:33 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Taifun-1B 14,Kosmos-3M | Taifun-1B 14,04/24/1996 1 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 86,Kosmos-3M | Parus 86,09/05/1996 12:47 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 87,Kosmos-3M | Parus 87,12/20/1996 6:43 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 88,Kosmos-3M | Parus 88,04/17/1997 1:03 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 89,Kosmos-3M | Parus 89,09/23/1997 4:44 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Nadezhda 8,Kosmos-3M | Nadezhda 8,12/10/1998 11:57 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 90,Kosmos-3M | Parus 90,12/24/1998 8:02 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,ABRIXAS & MegSat 0,Kosmos-3M | ABRIXAS & MegSat 0,04/28/1999 8:30 p.m.,"107 | Kapustin Yar, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 91,Kosmos-3M | Parus 91,08/26/1999 12:02 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Nadezhda 9,Kosmos-3M | Nadezhda 9,06/28/2000 10:37 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,CHAMP & MITA,Kosmos-3M | CHAMP & MITA,07/15/2000 noon,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,QuickBird 1,Kosmos-3M | QuickBird 1,11/20/2000 11 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Failure
Production Corporation Polyot,Parus 92,Kosmos-3M | Parus 92,06/08/2001 3:08 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 93,Kosmos-3M | Parus 93,05/28/2002 6:14 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Strela-3 131 & 132,Kosmos-3M | Strela-3 131 & 132,07/08/2002 6:35 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Nadezhda-M,Kosmos-3M | Nadezhda-M,09/26/2002 2:27 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,AlSat-1,Kosmos-3M | AlSat-1,11/28/2002 6:07 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 94,Kosmos-3M | Parus 94,06/04/2003 7:23 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Strela-3 133 & 134,Kosmos-3M | Strela-3 133 & 134,08/19/2003 10:50 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Mozhaets-4,Kosmos-3M | Mozhaets-4,09/27/2003 6:11 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 95,Kosmos-3M | Parus 95,07/22/2004 5:46 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Strela-3 135 to 136,Kosmos-3M | Strela-3 135 to 136,09/23/2004 3:07 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 96,Kosmos-3M | Parus 96,01/20/2005 3 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Beijing-1,Kosmos-3M | Beijing-1,10/27/2005 6:52 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Strela-3M 1,Kosmos-3M | Strela-3M 1,12/21/2005 7:34 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,SAR-Lupe 1,Kosmos-3M | SAR-Lupe 1,12/19/2006 2 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,SAR-Lupe 2,Kosmos-3M | SAR-Lupe 2,07/02/2007 7:38 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 97,Kosmos-3M | Parus 97,09/11/2007 1:05 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,SAR-Lupe 3,Kosmos-3M | SAR-Lupe 3,11/01/2007 12:51 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,SAR-Lupe 4,Kosmos-3M | SAR-Lupe 4,03/27/2008 5:16 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Orbcomm FM 37 to 41 & CDS 3,Kosmos-3M | Orbcomm FM 37 to 41 & CDS 3,06/19/2008 6:36 a.m.,"107 | Kapustin Yar, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,SAR-Lupe 5,Kosmos-3M | SAR-Lupe 5,07/22/2008 2:40 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
Production Corporation Polyot,Parus 98,Kosmos-3M | Parus 98,07/21/2009 3:57 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation",Kosmos-3M,Launch Successful
