launch_service_provider,mission,name,net,pad,rocket,status
Progress Rocket Space Center,US-K 68,Molniya-M | US-K 68,01/24/1992 1:18 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 83,Molniya-M | Molniya-1T 83,03/04/1992 4:27 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 69,Molniya 8K78M-PVB | US-K 69,07/08/1992 9:53 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya 8K78M-PVB,Launch Successful
Progress Rocket Space Center,Molniya-1T 84,Molniya-M | Molniya-1T 84,08/06/1992 7:30 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 50L,Molniya 8K78M-PVB | Molniya-3 50L,10/14/1992 7:58 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya 8K78M-PVB,Launch Successful
Progress Rocket Space Center,US-K 70,Molniya 8K78M-PVB | US-K 70,10/21/1992 10:21 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya 8K78M-PVB,Launch Successful
Progress Rocket Space Center,US-K 71,Molniya 8K78M-PVB | US-K 71,11/25/1992 12:18 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya 8K78M-PVB,Launch Successful
Progress Rocket Space Center,Molniya-3 56L,Molniya 8K78M-PVB | Molniya-3 56L,12/02/1992 1:57 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya 8K78M-PVB,Launch Successful
Progress Rocket Space Center,Molniya-1T 85,Molniya-M | Molniya-1T 85,01/13/1993 1:49 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 72,Molniya-M | US-K 72,01/26/1993 3:55 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 73,Molniya-M | US-K 73,04/06/1993 7:07 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 57L,Molniya-M | Molniya-3 57L,04/21/1993 12:23 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 86,Molniya-M | Molniya-1T 86,05/26/1993 3:23 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 58L,Molniya-M | Molniya-3 58L,08/04/1993 12:52 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 74,Molniya-M | US-K 74,08/10/1993 2:53 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 87,Molniya-M | Molniya-1T 87,12/22/1993 8:37 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 75,Molniya-M | US-K 75,08/05/1994 1:12 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 60L,Molniya-M | Molniya-3 60L,08/23/1994 2:30 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 88,Molniya-M | Molniya-1T 88,12/14/1994 2:21 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,US-K 76,Molniya-M | US-K 76,05/24/1995 8:10 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Interbol-1,Molniya-M | Interbol-1,08/02/1995 11:59 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-3 59L,Molniya-M | Molniya-3 59L,08/09/1995 2:21 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,IRS-1C & Skipper,Molniya-M | IRS-1C & Skipper,12/28/1995 6:45 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Molniya-M,Launch Successful
Progress Rocket Space Center,Molniya-1T 89,Molniya-M | Molniya-1T 89,08/14/1996 10:20 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Progress Rocket Space Center,"Interbol 2, Magin 5 & MuSat 1","Molniya-M | Interbol 2, Magin 5 & MuSat 1",08/29/1996 5:22 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
