launch_service_provider,mission,name,net,pad,rocket,status
Russian Aerospace Defence Forces,—,Soyuz-2.1b/Fregat | Meridian 5,12/23/2011 12:08 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2.1b/Fregat,Launch Failure
Russian Aerospace Defence Forces,—,Soyuz-U | Kobalt-M No.8 (Kosmos-2480),05/17/2012 2:05 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Aerospace Defence Forces,"Gonets M-13, Gonets M-15, Strela-3M (Kosmos-2481) & Yubileyniy 2 (MiR)","Rokot / Briz-KM | Gonets M-13, Gonets M-15, Strela-3M (Kosmos-2481) & Yubileyniy 2 (MiR)",07/28/2012 1:35 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Russian Aerospace Defence Forces,—,Soyuz-2.1a/Fregat | Meridian 6,11/14/2012 11:42 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2.1a/Fregat-M,Launch Successful
Russian Aerospace Defence Forces,—,"Rokot / Briz-KM | 3 x Strela-3M (Kosmos-2482, Kosmos-2483, Kosmos-2484)",01/15/2013 4:24 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Failure
Russian Aerospace Defence Forces,Glonass-M (Kosmos 2485),Soyuz-2.1b/Fregat | Glonass-M (Kosmos 2485),04/26/2013 5:23 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2.1b/Fregat,Launch Successful
Russian Aerospace Defence Forces,—,Soyuz 2.1b | Persona (Kosmos-2486),06/07/2013 6:37 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2.1b,Launch Successful
Russian Aerospace Defence Forces,"Gonets M-14, Gonets M-16, Gonets M-17","Rokot / Briz-KM | Gonets M-14, Gonets M-16, Gonets M-17",09/11/2013 11:23 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Russian Aerospace Defence Forces,—,"Rokot / Briz-KM | 3 x Strela-3M (Kosmos-2488, Kosmos-2489, Kosmos-2490) & Kosmos-2491",12/25/2013 12:31 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Russian Aerospace Defence Forces,—,Soyuz 2.1v/Volga | Aist-1,12/28/2013 12:30 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2-1v,Launch Successful
Russian Aerospace Defence Forces,Glonass-M (Kosmos 2494),Soyuz-2.1b/Fregat | Glonass-M (Kosmos 2494),03/23/2014 10:54 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2.1b/Fregat,Launch Successful
Russian Aerospace Defence Forces,—,Soyuz 2.1a | Kobalt-M (Kosmos 2495),05/06/2014 1:49 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2.1a,Launch Successful
Russian Aerospace Defence Forces,Rodnik,"Rokot / Briz-KM | 3x Strela-3M (Kosmos 2496, Kosmos 2497, Kosmos 2498) & Kosmos 2499",05/23/2014 5:27 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Russian Aerospace Defence Forces,Glonass-M (Kosmos 2500),Soyuz-2.1b/Fregat | Glonass-M (Kosmos 2500),06/14/2014 5:16 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2.1b/Fregat,Launch Successful
Russian Aerospace Defence Forces,"Gonets-M18, Gonets-M19, Gonets-M20","Rokot / Briz-KM | Gonets-M18, Gonets-M19, Gonets-M20",07/03/2014 12:43 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Russian Aerospace Defence Forces,—,Soyuz-2.1a/Fregat | Meridian 7,10/30/2014 1:42 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz 2.1a/Fregat-M,Launch Successful
