launch_service_provider,mission,name,net,pad,rocket,status
Russian Space Forces,Yantar-4K2 62,Soyuz U | Yantar-4K2 62,01/21/1992 3 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Yantar-4K2 63,Soyuz-U-PVB | Yantar-4K2 63,04/01/1992 2:18 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Resurs-F2 8,Soyuz U | Resurs-F2 8,04/29/1992 7 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Yantar-4K2 64,Soyuz U | Yantar-4K2 64,05/28/1992 7:09 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Resurs-F 15,Soyuz-U-PVB | Resurs-F 15,06/23/1992 8 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Strela-3 79 to 82,Tsiklon-3 | Strela-3 79 to 82,07/13/1992 5:41 p.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Yantar-4K2 65,Soyuz U | Yantar-4K2 65,07/24/1992 7:40 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Zenit-8 100,Soyuz-U-PVB | Zenit-8 100,07/30/1992 11 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Resurs-F 16,Soyuz U | Resurs-F 16,08/19/1992 10:20 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Yantar-4K2 66,Soyuz U | Yantar-4K2 66,09/22/1992 4:10 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Foton 8,Soyuz U | Foton 8,10/08/1992 7 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Strela-3 83 to 88,Tsiklon-3 | Strela-3 83 to 88,10/20/1992 12:58 p.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Resurs-500,Soyuz-U-PVB | Resurs-500,11/15/1992 9:45 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Yantar-4K2 67,Soyuz U | Yantar-4K2 67,11/20/1992 3:29 p.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Tselina-D 67,Tsiklon-3 | Tselina-D 67,11/24/1992 4:09 a.m.,"32/2 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Geo-IK 13,Tsiklon-3 | Geo-IK 13,12/22/1992 12:36 p.m.,"32/2 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Tselina-D 68,Tsiklon-3 | Tselina-D 68,12/25/1992 8:07 p.m.,"32/2 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Bion 10,Soyuz-U-PVB | Bion 10,12/29/1992 1:30 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Yantar-4K2 68,Soyuz U | Yantar-4K2 68,01/19/1993 2:49 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,EKA-1,Start-1 | EKA-1,03/25/1993 1:15 p.m.,"158 | Plesetsk Cosmodrome, Russian Federation",Start-1,Launch Successful
Russian Space Forces,Yantar-4K2 69,Soyuz U | Yantar-4K2 69,04/02/1993 2:30 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Tselina-R 4,Tsiklon-3 | Tselina-R 4,04/16/1993 7:49 a.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Strela-3 89 to 94,Tsiklon-3 | Strela-3 89 to 94,05/11/1993 2:56 p.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Resurs-F2 9,Soyuz U | Resurs-F2 9,05/21/1993 9:15 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Russian Space Forces,Strela-3 95 to 100,Tsiklon-3 | Strela-3 95 to 100,06/24/1993 4:12 a.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Resurs-F 18,Soyuz-U-PVB | Resurs-F 18,06/25/1993 8:20 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Yantar-4K2 70,Soyuz-U-PVB | Yantar-4K2 70,07/14/1993 2:40 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Zenit-8 101,Soyuz-U-PVB | Zenit-8 101,07/22/1993 8:45 a.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Resurs-F 19,Soyuz-U-PVB | Resurs-F 19,08/24/1993 10:45 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Meteor-2 21,Tsiklon-3 | Meteor-2 21,08/31/1993 4:40 a.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Meteor-3 6,Tsiklon-3 | Meteor-3 6,01/25/1994 12:25 a.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Strela-3 101 to 106,Tsiklon-3 | Strela-3 101 to 106,02/12/1994 8:54 a.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Koronas-I,Tsiklon-3 | Koronas-I,03/02/1994 3:25 a.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Russian Space Forces,Yantar-4K2 71,Soyuz-U-PVB | Yantar-4K2 71,03/17/1994 4:30 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Tselina-D 69,Tsiklon-3 | Tselina-D 69,05/25/1994 10:15 a.m.,"32/2 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Failure
Russian Space Forces,Zenit-8 102,Soyuz-U-PVB | Zenit-8 102,06/07/1994 7:20 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Foton 9,Soyuz-U-PVB | Foton 9,06/14/1994 4:05 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Yantar-4K2 72,Soyuz-U-PVB | Yantar-4K2 72,07/20/1994 5:35 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation",Soyuz-U-PVB,Launch Successful
Russian Space Forces,Okean-O1 7,Tsiklon-3 | Okean-O1 7,10/11/1994 2:30 p.m.,"32/2 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
