launch_service_provider,mission,name,net,pad,rocket,status
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz-U2 | Progress M-11,01/25/1992 7:50 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 10,Zenit-2 | Tselina-2 10,02/05/1992 6:14 p.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Failure
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-14,Soyuz-U2 | Soyuz TM-14,03/17/1992 10:54 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-4KS1M 2,Soyuz U | Yantar-4KS1M 2,04/08/1992 12:20 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz-U2 | Progress M-12,04/19/1992 9:29 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-1KFT 15,Soyuz U | Yantar-1KFT 15,04/29/1992 10:10 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz-U2 | Progress M-13,06/30/1992 4:43 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-15,Soyuz-U2 | Soyuz TM-15,07/27/1992 6:08 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz-U2 | Progress M-14,08/15/1992 10:18 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz-U2 | Progress M-15,10/27/1992 5:19 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 11,Zenit-2 | Tselina-2 11,11/17/1992 7:47 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-4KS1M 3,Soyuz U | Yantar-4KS1M 3,12/09/1992 11:25 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Orlets-1 4,Soyuz U | Orlets-1 4,12/22/1992 noon,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 12,Zenit-2 | Tselina-2 12,12/25/1992 5:56 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-16,Soyuz-U2 | Soyuz TM-16,01/24/1993 5:58 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz-U2 | Progress M-16,02/21/1993 6:32 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 13,Zenit-2 | Tselina-2 13,03/26/1993 2:21 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
