launch_service_provider,mission,name,net,pad,rocket,status
United Launch Alliance,New Horizons,Atlas V 551 | New Horizons,01/19/2006 7 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 551,Launch Successful
United Launch Alliance,NROL-21,Delta II 7920-10 | NROL-21,12/14/2006 9 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Delta II,Launch Successful
United Launch Alliance,THEMIS,Delta II 7925-10C | THEMIS,02/17/2007 11:01 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Delta II,Launch Successful
United Launch Alliance, STP-1,Atlas V 401 | STP-1,03/09/2007 3:10 a.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 401,Launch Successful
United Launch Alliance,COSMO-SkyMed 1,Delta II 7420-10 | COSMO-SkyMed 1,06/08/2007 2:34 a.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Delta II,Launch Successful
United Launch Alliance,NROL-30 & NOSS-3 (USA-194),Atlas V 401 | NROL-30 & NOSS-3 (USA-194),06/15/2007 3:11 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 401,Launch Successful
United Launch Alliance,Phoenix,Delta II 7925 | Phoenix,08/04/2007 9:26 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Delta II,Launch Successful
United Launch Alliance,WorldView-1,Delta II 7920-10 | WorldView-1,09/18/2007 6:35 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA",Delta II,Launch Successful
United Launch Alliance,Dawn,Delta II 7925H-9.5 | Dawn,09/27/2007 11:34 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Delta II,Launch Successful
United Launch Alliance,WGS-1,Atlas V 421 | WGS-1,10/11/2007 12:22 a.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 421,Launch Successful
United Launch Alliance,GPS IIR-M-4 (USA-196),Delta II 7925-9.5 | GPS IIR-M-4 (USA-196),10/17/2007 12:23 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Delta II,Launch Successful
