launch_service_provider,mission,name,net,pad,rocket,status
United Space Alliance,STS-79,Space Shuttle Atlantis / OV-104 | STS-79,09/16/1996 8:54 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-80,Space Shuttle Columbia / OV-102 | STS-80,11/19/1996 7:55 p.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-81,Space Shuttle Atlantis / OV-104 | STS-81,01/12/1997 9:27 a.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-83,Space Shuttle Columbia / OV-102 | STS-83,04/04/1997 7:20 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-84,Space Shuttle Columbia / OV-102 | STS-84,05/15/1997 9:07 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-94,Space Shuttle Columbia / OV-102 | STS-94,07/01/1997 6:02 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-85,Space Shuttle Discovery / OV-103 | STS-85,08/07/1997 2:41 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-86,Space Shuttle Atlantis / OV-104 | STS-86,09/26/1997 2:34 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-87,Space Shuttle Columbia / OV-102 | STS-87,11/19/1997 7:46 p.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-89,Space Shuttle Endeavour / OV-105 | STS-89,01/23/1998 2:48 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-90,Space Shuttle Columbia / OV-102 | STS-90,04/17/1998 6:19 p.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-88,Space Shuttle Endeavour / OV-105 | STS-88,12/04/1998 8:35 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-93,Space Shuttle Columbia OV-102 | STS-93,07/23/1999 4:31 a.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-99,Space Shuttle Endeavour / OV-105 | STS-99,02/11/2000 5:43 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-101,Space Shuttle Atlantis / OV-104 | STS-101,05/19/2000 10:11 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-106,Space Shuttle Atlantis / OV-104 | STS-106,09/08/2000 12:45 p.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-97,Space Shuttle Endeavour / OV-105 | STS-97,12/01/2000 3:06 a.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-98,Space Shuttle Atlantis / OV-104 | STS-98,02/07/2001 11:13 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-102,Space Shuttle Discovery / OV-103 | STS-102,03/08/2001 11:42 a.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-100,Space Shuttle Endeavour / OV-105 | STS-100,04/19/2001 6:40 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-104,Space Shuttle Atlantis / OV-104 | STS-104,07/12/2001 9:04 a.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-105,Space Shuttle Discovery / OV-103 | STS-105,08/10/2001 9:10 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-108,Space Shuttle Endeavour / OV-105 | STS-108,12/05/2001 10:19 p.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
United Space Alliance,STS-109,Space Shuttle Columbia / OV-102 | STS-109,03/01/2002 11:22 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Space Shuttle,Launch Successful
