launch_service_provider,mission,name,net,pad,rocket,status
United States Air Force,Discoverer 1,Thor Agena A | Discoverer 1,02/28/1959 9:49 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
United States Air Force,Discoverer 2,Thor Agena A | Discoverer 2,04/13/1959 9:18 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
United States Air Force,Discoverer 3,Thor Agena A | Discoverer 3,06/03/1959 8:09 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
United States Air Force,Discoverer 4,Thor Agena A | Discoverer 4,06/25/1959 10:47 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
United States Air Force,Explorer 6,Thor Able III | Explorer 6,08/07/1959 2:24 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able III,Launch Successful
United States Air Force,Discoverer 5,Thor Agena A | Discoverer 5,08/13/1959 7 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
United States Air Force,Discoverer 6,Thor Agena A | Discoverer 6,08/19/1959 7:24 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
United States Air Force,Transit 1A,Thor Able II | Transit 1A,09/17/1959 2:34 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able II,Launch Failure
United States Air Force,Discoverer 7,Thor Agena A | Discoverer 7,11/07/1959 8:28 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
United States Air Force,Discoverer 8,Thor Agena A | Discoverer 8,11/20/1959 7:25 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
United States Air Force,P-3,Atlas-Able | P-3,11/26/1959 7:26 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas-Able,Launch Failure
United States Air Force,Discoverer 9,Thor Agena A | Discoverer 9,02/04/1960 6:51 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
United States Air Force,Discoverer 10,Thor Agena A | Discoverer 10,02/19/1960 8:15 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
United States Air Force,Midas 1,Atlas Agena A | Midas 1,02/26/1960 5:25 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas Agena A,Launch Failure
United States Air Force,Pioneer V,Thor Able IV | Pioneer V,03/11/1960 1 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able IV,Launch Successful
United States Air Force,Tiros 1,Thor Able II | Tiros 1,04/01/1960 11:40 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able II,Launch Successful
United States Air Force,Transit 1B,Thor DM-21 Ablestar | Transit 1B,04/13/1960 12:02 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Thor DM-21 Ablestar,Launch Successful
United States Air Force,Discoverer 11,Thor Agena A | Discoverer 11,04/15/1960 8:30 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
United States Air Force,Echo,Thor Delta | Echo,05/13/1960 9:16 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Delta,Launch Failure
United States Air Force,Midas 2,Atlas Agena A | Midas 2,05/24/1960 5:36 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas Agena A,Launch Successful
United States Air Force,Transit 2A,Thor DM-21 Ablestar | Transit 2A,06/22/1960 5:54 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Thor DM-21 Ablestar,Launch Successful
