launch_service_provider,mission,name,net,pad,rocket,status
China Aerospace Corporation,FSW-1 5,Long March 2C | FSW-1 5,10/08/1993 8 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
China Aerospace Corporation,Shi Jian 4,Long March 3A | Shi Jian 4,02/08/1994 8:33 a.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 3A,Launch Successful
China Aerospace Corporation,Fanhui Shi Weixing (16),Long March 2D | Fanhui Shi Weixing (16),07/03/1994 8 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2D,Launch Successful
China Aerospace Corporation,APSTAR 1,Long March 3 | APSTAR 1,07/21/1994 10:55 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
China Aerospace Corporation,Optus B3,Long March 2E | Optus B3,08/27/1994 11:10 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 2E,Launch Successful
China Aerospace Corporation,DFH-3,Long March 3A | DFH-3,11/29/1994 5:02 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 3A,Launch Successful
China Aerospace Corporation,Apstar 2,Long March 2E | Apstar 2,01/25/1995 10:40 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 2E,Launch Failure
China Aerospace Corporation,Asiasat 2,Long March 2E | Asiasat 2,11/28/1995 11:30 a.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 2E,Launch Successful
China Aerospace Corporation,Echostar I,Long March 2E | Echostar I,12/28/1995 11:50 a.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 2E,Launch Successful
China Aerospace Corporation,INTELSAT 708,Long March 3B | INTELSAT 708,02/14/1996 7:01 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Failure
China Aerospace Corporation,Apstar 1A,Long March 3 | Apstar 1A,07/03/1996 10:47 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
China Aerospace Corporation,Zhongxing 7,Long March 3 | Zhongxing 7,08/18/1996 10:27 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Failure
China Aerospace Corporation,Fanhui Shi Weixing (17),Long March 2D | Fanhui Shi Weixing (17),10/20/1996 7:20 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2D,Launch Successful
