launch_service_provider,mission,name,net,pad,rocket,status
Arianespace,Firewheel,Ariane 1 | Firewheel,05/23/1980 2:29 p.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 1,Launch Failure
Arianespace,Meteosat 2,Ariane 1 | Meteosat 2,06/19/1981 12:32 p.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 1,Launch Successful
Arianespace,Marecs 1,Ariane 1 | Marecs 1,12/20/1981 1:29 a.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 1,Launch Successful
Arianespace,Marecs B & Sirio 2,Ariane 1 | Marecs B & Sirio 2,09/09/1982 2:12 a.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 1,Launch Failure
Arianespace,ECS 1,Ariane 1 | ECS 1,06/16/1983 11:59 a.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 1,Launch Successful
Arianespace,Intelsat 507,Ariane 1 | Intelsat 507,10/19/1983 12:45 a.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 1,Launch Successful
Arianespace,Intelsat 508,Ariane 1 | Intelsat 508,03/05/1984 12:50 a.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 1,Launch Successful
Arianespace,Spacenet 1,Ariane 1 | Spacenet 1,05/23/1984 1:33 a.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 1,Launch Successful
Arianespace,ECS 2 & Télécom 1A,Ariane 3 | ECS 2 & Télécom 1A,08/04/1984 1:32 p.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 3,Launch Successful
Arianespace,Spacenet 2 & Marecs 2,Ariane 3 | Spacenet 2 & Marecs 2,11/10/1984 1:14 a.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 3,Launch Successful
Arianespace,Arabsat 1A & Brasilsat A1,Ariane 3 | Arabsat 1A & Brasilsat A1,02/08/1985 11:22 p.m.,"Ariane Launch Area 1 | Kourou, French Guiana",Ariane 3,Launch Successful
