launch_service_provider,mission,name,net,pad,rocket,status
German Aerospace Center,Azur,Scout B | Azur,11/08/1969 1:52 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout B,Launch Successful
Eurockot Launch Services,SimSat 1 & 2,Rokot / Briz-KM | SimSat 1 & 2,05/16/2000 8:27 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,GRACE,Rokot / Briz-KM | GRACE,03/17/2002 9:21 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,Iridium 97 & 98,Rokot / Briz-KM | Iridium 97 & 98,06/20/2002 9:33 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,Mimosa,Rokot / Briz-KM | Mimosa,06/30/2003 2:15 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,SERVIS-1,Rokot / Briz-KM | SERVIS-1,10/30/2003 1:43 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,CRYOSAT,Rokot / Briz-KM | CRYOSAT,10/08/2005 3:02 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Failure
Eurockot Launch Services,Arirang-2,Rokot / Briz-KM | Arirang-2,07/28/2006 7:05 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,GOCE,Rokot / Briz-KM | GOCE,03/17/2009 2:21 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,SMOS,Rokot / Briz-KM | SMOS,11/02/2009 1:50 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,—,Rokot / Briz-KM | SERVIS-2,06/02/2010 1:59 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,"Swarm A, B, C","Rokot / Briz-KM | Swarm A, B, C",11/22/2013 12:02 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,Sentinel-3A,Rokot / Briz-KM | Sentinel-3A,02/16/2016 5:57 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,Sentinel-5P,Rokot / Briz-KM | Sentinel-5P,10/13/2017 9:27 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
Eurockot Launch Services,Sentinel-3B,Rokot / Briz-KM | Sentinel-3B,04/25/2018 5:57 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation",Rokot/Briz-KM,Launch Successful
HyImpulse,Maiden Flight,SR75 | Maiden Flight,03/31/2024 midnight,"Pad 1 | Koonibba Test Range, South Australia",SR75,To Be Determined
Rocket Factory Augsburg,Maiden Flight,RFA One | Maiden Flight,06/30/2024 midnight,Launch Pad Fredo | SaxaVord Spaceport,RFA One,To Be Determined
