launch_service_provider,mission,name,net,pad,rocket,status
Sea Launch,DemoSat,Zenit | DemoSat,03/28/1999 1:29 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,DirecTV-1R,Zenit | DirecTV-1R,10/10/1999 3:28 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,ICO F1,Zenit | ICO F1,03/12/2000 2:49 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Failure
Sea Launch,PAS 9,Zenit | PAS 9,07/28/2000 10:42 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Thuraya 1,Zenit | Thuraya 1,10/21/2000 5:52 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,XM-2,Zenit | XM-2,03/18/2001 10:33 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,XM-1,Zenit | XM-1,05/08/2001 10:10 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Galaxy 3C,Zenit | Galaxy 3C,06/15/2002 10:39 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Thuraya 2,Zenit | Thuraya 2,06/10/2003 1:55 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Echostar IX,Zenit | Echostar IX,08/08/2003 3:30 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Galaxy 13,Zenit | Galaxy 13,10/01/2003 4:02 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Estrela do Sul 1,Zenit | Estrela do Sul 1,01/11/2004 4:12 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,DirecTV 7S,Zenit | DirecTV 7S,05/04/2004 12:42 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Telstar 18,Zenit | Telstar 18,06/29/2004 3:58 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,XM-3,Zenit | XM-3,03/01/2005 3:50 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Spaceway 1,Zenit | Spaceway 1,04/26/2005 7:31 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Intelsat IA-8,Zenit | Intelsat IA-8,06/23/2005 2:03 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,INMARSAT 4 F2,Zenit | INMARSAT 4 F2,11/08/2005 2:06 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Echostar X,Zenit | Echostar X,02/15/2006 11:34 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,JCSAT 5A,Zenit | JCSAT 5A,04/12/2006 11:29 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Galaxy 16,Zenit | Galaxy 16,06/18/2006 7:50 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Mugunghwa 5,Zenit | Mugunghwa 5,08/22/2006 3:27 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,XM-4,Zenit | XM-4,10/30/2006 11:48 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,NSS 8,Zenit | NSS 8,01/30/2007 11:22 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Failure
Sea Launch,Thuraya 3,Zenit | Thuraya 3,01/15/2008 11:48 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,DirecTV 11,Zenit | DirecTV 11,03/19/2008 10:47 p.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
Sea Launch,Amos 3,Zenit | Amos 3,04/28/2008 5 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit,Launch Successful
Sea Launch,Galaxy 18,Zenit | Galaxy 18,05/21/2008 9:43 a.m.,Launch Platform Odyssey | Sea Launch,Zenit,Launch Successful
