launch_service_provider,mission,name,net,pad,rocket,status
Israeli Space Agency,Ofeq-1,Shavit | Ofeq-1,09/19/1988 9:31 a.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit,Launch Successful
Israeli Space Agency,Ofeq-2,Shavit | Ofeq-2,04/03/1990 12:02 p.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit,Launch Successful
Israeli Space Agency,Ofeq-3,Shavit-2 | Ofeq-3,04/05/1995 11:16 a.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Successful
Israeli Space Agency,Ofeq-4,Shavit-2 | Ofeq-4,01/22/1998 12:56 p.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Failure
Israeli Space Agency,Ofeq-5,Shavit-2 | Ofeq-5,05/28/2002 3:25 p.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Successful
Israeli Space Agency,Ofeq-6,Shavit-2 | Ofeq-6,09/06/2004 10:53 a.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Failure
Israeli Space Agency,Ofeq-7,Shavit-2 | Ofeq-7,06/10/2007 11:40 p.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Successful
Israel Aerospace Industries,—,Shavit-2 | Ofek-9,06/22/2010 7 p.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Successful
Israel Aerospace Industries,—,Shavit-2 | Ofeq-10,04/09/2014 7:06 p.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Successful
Israel Aerospace Industries,Ofeq-11,Shavit-2 | Ofeq-11,09/13/2016 2:38 p.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Successful
Israel Aerospace Industries,Ofek-16,Shavit-2 | Ofek-16,07/06/2020 1 a.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Successful
Israel Aerospace Industries,Ofek-13,Shavit-2 | Ofek-13,03/28/2023 11:10 p.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel",Shavit-2,Launch Successful
