launch_service_provider,mission,name,net,pad,rocket,status
Strategic Rocket Forces,—,Kosmos-2I 63S1 | Kosmos-2I | DS-1-1,10/27/1961 4:30 p.m.,"Mayak-2 | Kapustin Yar, Russian Federation",Kosmos-2I 63S1,Launch Failure
Strategic Rocket Forces,—,Kosmos-2I 63S1 | DS-1 2,12/21/1961 12:30 p.m.,"Mayak-2 | Kapustin Yar, Russian Federation",Kosmos-2I 63S1,Launch Failure
Seventh Ministry of Machine Building Industry,Dong Fang Hong 1,Long March 1 | Dong Fang Hong 1,04/24/1970 1:35 p.m.,"Launch Area 2A | Jiuquan Satellite Launch Center, People's Republic of China",Long March 1,Launch Successful
Seventh Ministry of Machine Building Industry,Shijian 1,Long March 1 | Shijian 1,03/03/1971 12:15 p.m.,"Launch Area 2A | Jiuquan Satellite Launch Center, People's Republic of China",Long March 1,Launch Successful
Seventh Ministry of Machine Building Industry,JSSW 1a,Feng Bao 1 | JSSW 1a,09/18/1973 12:12 p.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Feng Bao 1,Launch Failure
Seventh Ministry of Machine Building Industry,JSSW 1b,Feng Bao 1 | JSSW 1b,07/12/1974 1:55 p.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Feng Bao 1,Launch Failure
Seventh Ministry of Machine Building Industry,FSW-0 0,Long March 2 | FSW-0 0,11/05/1974 9:40 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Failure
Seventh Ministry of Machine Building Industry,JSSW 1,Feng Bao 1 | JSSW 1,07/26/1975 1:30 p.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Feng Bao 1,Launch Successful
Seventh Ministry of Machine Building Industry,FSW-0 1,Long March 2 | FSW-0 1,11/26/1975 3:27 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Seventh Ministry of Machine Building Industry,JSSW 2,Feng Bao 1 | JSSW 2,12/16/1975 9:21 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Feng Bao 1,Launch Successful
Seventh Ministry of Machine Building Industry,JSSW 3,Feng Bao 1 | JSSW 3,08/30/1976 11:45 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Feng Bao 1,Launch Successful
