launch_service_provider,mission,name,net,pad,rocket,status
Soviet Space Program,Sputnik 1,Sputnik 8K74PS | Sputnik 1,10/04/1957 7:28 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Sputnik 8K74PS,Launch Successful
Soviet Space Program,Sputnik 2,Sputnik 8K74PS | Sputnik 2,11/03/1957 2:30 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Sputnik 8K74PS,Launch Successful
Soviet Space Program,D-1 1,Sputnik 8A91 | D-1 1,04/27/1958 7 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Sputnik 8A91,Launch Failure
Soviet Space Program,D1- 2,Sputnik 8A91 | D1- 2,05/15/1958 7:12 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Sputnik 8A91,Launch Successful
Soviet Space Program,Luna-1a,Vostok-L 8K72 | Luna-1a,09/23/1958 7:40 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Vostok-L 8K72,Launch Failure
Soviet Space Program,Luna-1b,Vostok-L 8K72 | Luna-1b,10/11/1958 9:41 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Vostok-L 8K72,Launch Failure
Soviet Space Program,Luna-1c,Vostok-L 8K72 | Luna-1c,12/04/1958 6:18 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Vostok-L 8K72,Launch Failure
Soviet Space Program,Luna-1,Vostok-L 8K72 | Luna-1,01/02/1959 4:41 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Vostok-L 8K72,Launch Successful
Soviet Space Program,Luna-2a,Vostok-L 8K72 | Luna-2a,06/18/1959 8:08 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Vostok-L 8K72,Launch Failure
Soviet Space Program,Luna-2,Vostok-L 8K72 | Luna-2,09/12/1959 6:39 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Vostok-L 8K72,Launch Successful
Soviet Space Program,Luna-3,Vostok-L 8K72 | Luna-3,10/04/1959 12:43 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Vostok-L 8K72,Launch Successful
