launch_service_provider,mission,name,net,pad,rocket,status
Science and Engineering Research Council,Ariel 2,Scout X-3 | Ariel 2,03/27/1964 5:25 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA",Scout X-3,Launch Successful
Science and Engineering Research Council,Ariel 3,Scout A | Ariel 3,05/05/1967 4 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout A,Launch Successful
Royal Aircraft Establishment,X-2,Black Arrow | X-2,09/02/1970 12:34 a.m.,Launch Area 5B | RAAF Woomera Range Complex,Black Arrow,Launch Failure
Royal Aircraft Establishment,Prospero,Black Arrow | Prospero,10/28/1971 4:09 a.m.,Launch Area 5B | RAAF Woomera Range Complex,Black Arrow,Launch Successful
Science and Engineering Research Council,Ariel 4,Scout B-1 | Ariel 4,12/11/1971 8:47 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout B-1,Launch Successful
Science and Engineering Research Council,Miranda,Scout D-1 | Miranda,03/09/1974 2:22 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA",Scout D-1,Launch Successful
Science and Engineering Research Council,Ariel 5,Scout B-1 | Ariel 5,10/15/1974 7:47 a.m.,"San Marco platform | Broglio Space Center, Kenya",Scout B-1,Launch Successful
Science and Engineering Research Council,Ariel 6,Scout D-1 | Ariel 6,06/02/1979 11:26 p.m.,"Launch Area 3A | Wallops Island, Virginia, USA",Scout D-1,Launch Successful
Orbex,Maiden Flight,Orbex Prime | Maiden Flight,12/31/2024 midnight,Launch Complex | Sutherland Spaceport,Prime,To Be Determined
Skyrora,Maiden flight,Skyrora XL | Maiden flight,12/31/2024 midnight,Launch Pad Fredo | SaxaVord Spaceport,Skyrora XL,To Be Determined
