launch_service_provider,mission,name,net,pad,rocket,status
US Navy,Vanguard,Vanguard | Vanguard,12/06/1957 4:44 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Failure
Army Ballistic Missile Agency,Explorer 1,Juno-I | Explorer 1,02/01/1958 3:47 a.m.,"Launch Complex 26A | Cape Canaveral, FL, USA",Juno-I,Launch Successful
US Navy,Vanguard,Vanguard | Vanguard,02/05/1958 7:33 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Failure
Army Ballistic Missile Agency,Explorer 2,Juno-I | Explorer 2,03/05/1958 6:27 p.m.,"Launch Complex 26A | Cape Canaveral, FL, USA",Juno-I,Launch Failure
US Navy,Vanguard,Vanguard | Vanguard,03/17/1958 12:15 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Successful
Army Ballistic Missile Agency,Explorer 3,Juno-I | Explorer 3,03/26/1958 5:38 p.m.,"Launch Complex 26A | Cape Canaveral, FL, USA",Juno-I,Launch Successful
US Navy,Vanguard,Vanguard | Vanguard,04/29/1958 2:53 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Failure
US Navy,Vanguard,Vanguard | Vanguard,05/28/1958 3:46 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Failure
US Navy,Vanguard,Vanguard | Vanguard,06/26/1958 5 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Failure
US Navy,NOTS 1,Project Pilot | NOTS 1,07/25/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight,Project Pilot,Launch Failure
Army Ballistic Missile Agency,Explorer 4,Juno-I | Explorer 4,07/26/1958 3 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno-I,Launch Successful
US Navy,NOTS 2,Project Pilot | NOTS 2,08/12/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight,Project Pilot,Launch Failure
Army Ballistic Missile Agency,Able I (Pioneer),Thor Able I | Able I (Pioneer),08/17/1958 12:18 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able I,Launch Failure
US Navy,NOTS 3,Project Pilot | NOTS 3,08/22/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight,Project Pilot,Launch Failure
Army Ballistic Missile Agency,Explorer 5,Juno-I | Explorer 5,08/24/1958 6:17 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno-I,Launch Failure
US Navy,NOTS 4,Project Pilot | NOTS 4,08/25/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight,Project Pilot,Launch Failure
US Navy,NOTS 5,Project Pilot | NOTS 5,08/26/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight,Project Pilot,Launch Failure
US Navy,NOTS 6,Project Pilot | NOTS 6,08/28/1958 midnight,Naval Air Weapons Station China Lake | Air launch to Suborbital flight,Project Pilot,Launch Failure
US Navy,Vanguard,Vanguard | Vanguard,09/26/1958 3:38 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Failure
Army Ballistic Missile Agency,Pioneer 1,Thor Able I | Pioneer 1,10/11/1958 8:42 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able I,Launch Successful
Army Ballistic Missile Agency,Beacon,Juno-I | Beacon,10/23/1958 3:21 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno-I,Launch Failure
Army Ballistic Missile Agency,Pioneer 2,Thor Able I | Pioneer 2,11/08/1958 7:30 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able I,Launch Failure
National Aeronautics and Space Administration,Pioneer 3,Juno II | Pioneer 3,12/06/1958 5:44 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno II,Launch Successful
US Army,SCORE,Atlas B | SCORE,12/18/1958 11:02 p.m.,"Launch Complex 11 | Cape Canaveral, FL, USA",Atlas B,Launch Successful
US Navy,Vanguard II,Vanguard | Vanguard II,02/17/1959 3:55 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Successful
United States Air Force,Discoverer 1,Thor Agena A | Discoverer 1,02/28/1959 9:49 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
National Aeronautics and Space Administration,Pioneer 4,Juno II | Pioneer 4,03/03/1959 5:10 a.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno II,Launch Successful
United States Air Force,Discoverer 2,Thor Agena A | Discoverer 2,04/13/1959 9:18 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
US Navy,Vanguard,Vanguard | Vanguard,04/14/1959 2:49 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Failure
United States Air Force,Discoverer 3,Thor Agena A | Discoverer 3,06/03/1959 8:09 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
US Navy,Vanguard,Vanguard | Vanguard,06/22/1959 8:16 p.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Failure
United States Air Force,Discoverer 4,Thor Agena A | Discoverer 4,06/25/1959 10:47 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
National Aeronautics and Space Administration,NASA S-1,Juno II | NASA S-1,07/16/1959 5:37 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno II,Launch Failure
United States Air Force,Explorer 6,Thor Able III | Explorer 6,08/07/1959 2:24 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able III,Launch Successful
United States Air Force,Discoverer 5,Thor Agena A | Discoverer 5,08/13/1959 7 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
National Aeronautics and Space Administration,Beacon,Juno II | Beacon,08/15/1959 12:31 a.m.,"Launch Complex 26B | Cape Canaveral, FL, USA",Juno II,Launch Failure
United States Air Force,Discoverer 6,Thor Agena A | Discoverer 6,08/19/1959 7:24 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
National Aeronautics and Space Administration,LJ-1,Little Joe | LJ-1,08/21/1959 noon,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch Failure
National Aeronautics and Space Administration,Big Joe 1,Atlas LV-3B | Big Joe 1,09/09/1959 8:19 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas LV-3B,Launch was a Partial Failure
United States Air Force,Transit 1A,Thor Able II | Transit 1A,09/17/1959 2:34 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able II,Launch Failure
US Navy,Vanguard III,Vanguard | Vanguard III,09/18/1959 5:20 a.m.,"Launch Complex 18A | Cape Canaveral, FL, USA",Vanguard,Launch Successful
National Aeronautics and Space Administration,LJ-6,Little Joe | LJ-6,10/04/1959 10 a.m.,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch was a Partial Failure
National Aeronautics and Space Administration,Explorer 7,Juno II | Explorer 7,10/13/1959 3:30 p.m.,"Launch Complex 5 | Cape Canaveral, FL, USA",Juno II,Launch Successful
National Aeronautics and Space Administration,LJ-1A,Little Joe | LJ-1A,11/04/1959 2:30 p.m.,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch was a Partial Failure
United States Air Force,Discoverer 7,Thor Agena A | Discoverer 7,11/07/1959 8:28 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
United States Air Force,Discoverer 8,Thor Agena A | Discoverer 8,11/20/1959 7:25 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Successful
United States Air Force,P-3,Atlas-Able | P-3,11/26/1959 7:26 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas-Able,Launch Failure
National Aeronautics and Space Administration,LJ-2,Little Joe | LJ-2,12/04/1959 4:20 p.m.,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch Successful
National Aeronautics and Space Administration,LJ-1B,Little Joe | LJ-1B,01/21/1960 2:23 p.m.,"Launch Area 1 | Wallops Island, Virginia, USA",Little Joe,Launch Successful
United States Air Force,Discoverer 9,Thor Agena A | Discoverer 9,02/04/1960 6:51 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
United States Air Force,Discoverer 10,Thor Agena A | Discoverer 10,02/19/1960 8:15 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor Agena A,Launch Failure
United States Air Force,Midas 1,Atlas Agena A | Midas 1,02/26/1960 5:25 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas Agena A,Launch Failure
United States Air Force,Pioneer V,Thor Able IV | Pioneer V,03/11/1960 1 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Able IV,Launch Successful
National Aeronautics and Space Administration,NASA S-46,Juno II | NASA S-46,03/23/1960 1:35 p.m.,"Launch Complex 26B | Cape Canaveral, FL, USA",Juno II,Launch Failure
